12s ribosomal rna,rrnS
16s ribosomal rna,rrnL
atp synthase 6,atp6
atp synthase 8,atp8
atp synthase f0 subunit 6,atp6
atp synthase f0 subunit 8,atp8
atp synthase fo subunit 6,atp6
atp synthase fo subunit 8,atp8
atpase 6,atp6
atpase 8,atp8
atpase subunit 6,atp6
atpase subunit 8,atp8
cytochrome b,cytb
cytochrome b oxidase,cytb
cytochrome c oxidase subunit 1,cox1
cytochrome c oxidase subunit 2,cox2
cytochrome c oxidase subunit 3,cox3
cytochrome c oxidase subunit i,cox1
cytochrome c oxidase subunit ii,cox2
cytochrome c oxidase subunit iii,cox3
cytochrome oxidase subunit 1,cox1
cytochrome oxidase subunit 2,cox2
cytochrome oxidase subunit 3,cox3
cytochrome c oxidase subunit l,cox1
cytochrome c oxidase subunit ll,cox2
cytochrome c oxidase subunit lll,cox3
cytochrome c oxidase ii,cox2
cytochrome oxidase subunit i,cox1
cytochrome oxidase subunit ii,cox2
cytochrome oxidase subunit iii,cox3
l-rrna,rrnL
large subunit ribosomal rna,rrnL
nadh dehydrogenase subunit 1,nad1
nadh dehydrogenase subunit 2,nad2
nadh dehydrogenase subunit 3,nad3
nadh dehydrogenase subunit 4,nad4
nadh dehydrogenase subunit 4l,nad4L
nadh dehydrogenase 4l,nad4L
nadh dehydrogenase subunit 5,nad5
nadh dehydrogenase subunit 6,nad6
nadh dehydrogenase 1,nad1
nadh dehydrogenase 2,nad2
nadh dehydrogenase 3,nad3
nadh dehydrogenase 4,nad4
nadh dehydrogenase 4L,nad4L
nadh dehydrogenase 5,nad5
nadh dehydrogenase 6,nad6
s-rrna,rrnS
small subunit ribosomal rna,rrnS
